nivel,codigo_etapa1,codigo_etapa2,nome_etapa1,nome_etapa2
assunto,CAL_DIF_08,CAL_DIF_06,Métodos Numéricos,Métodos Numéricos
subassunto,CAL_DIF_08_004,CAL_DIF_06_001,Erros e Convergência Numérica,Erros e Convergência Numérica
subassunto,CAL_DIF_08_002,CAL_DIF_06_002,"Integração, Derivação e Sistemas Numéricos","Integração, Derivação e Sistemas Numéricos"
subassunto,CAL_DIF_08_003,CAL_DIF_06_003,Solução Numérica de Equações Diferenciais,Solução Numérica de Equações Diferenciais
subassunto,CAL_DIF_08_001,CAL_DIF_06_004,"Zeros de Funções (Newton-Raphson, Bisseção)","Zeros de Funções (Newton-Raphson, Bisseção)"
assunto,CIE_MAT_01,CIE_MAT_01,Classificação e Seleção,Classificação e Seleção
subassunto,CIE_MAT_01_001,CIE_MAT_01_001,Classificação dos Materiais,Classificação dos Materiais
subassunto,CIE_MAT_01_002,CIE_MAT_01_002,Seleção de Materiais,Seleção de Materiais
assunto,CIE_MAT_02,CIE_MAT_02,Corrosão e Degradação,Corrosão e Degradação
subassunto,CIE_MAT_02_001,CIE_MAT_02_001,Corrosão Eletroquímica,Corrosão Eletroquímica
subassunto,CIE_MAT_02_002,CIE_MAT_02_002,Corrosão Galvânica,Corrosão Galvânica
subassunto,CIE_MAT_02_005,CIE_MAT_02_003,Proteção contra Corrosão,Proteção contra Corrosão
assunto,CIE_MAT_03,CIE_MAT_03,Diagramas de Fases,Diagramas de Fases
subassunto,CIE_MAT_03_001,CIE_MAT_03_001,Diagrama Ferro-Carbono,Diagrama Ferro-Carbono
subassunto,CIE_MAT_03_003,CIE_MAT_03_002,Fases e Transformações,Fases e Transformações
assunto,CIE_MAT_04,CIE_MAT_04,Ensaios de Materiais,Ensaios de Materiais
subassunto,CIE_MAT_04_001,CIE_MAT_04_001,Ensaio de Impacto,Ensaio de Impacto
subassunto,CIE_MAT_04_002,CIE_MAT_04_002,Ensaio de Tração,Ensaio de Tração
subassunto,CIE_MAT_04_003,CIE_MAT_04_003,Ensaios de Dureza,Ensaios de Dureza
subassunto,CIE_MAT_04_004,CIE_MAT_04_004,Ensaios Não Destrutivos,Ensaios Não Destrutivos
assunto,CIE_MAT_05,CIE_MAT_05,Estrutura Atômica e Cristalina,Estrutura Atômica e Cristalina
subassunto,CIE_MAT_05_001,CIE_MAT_05_001,Alotropia e Polimorfismo,Alotropia e Polimorfismo
subassunto,CIE_MAT_05_002,CIE_MAT_05_002,Defeitos Cristalinos,Defeitos Cristalinos
subassunto,CIE_MAT_05_004,CIE_MAT_05_003,Fator de Empacotamento Atômico,Fator de Empacotamento Atômico
subassunto,CIE_MAT_05_006,CIE_MAT_05_004,Redes e Células Cristalinas,Redes e Células Cristalinas
subassunto,CIE_MAT_05_007,CIE_MAT_05_005,Sistemas Cristalinos,Sistemas Cristalinos
assunto,CIE_MAT_06,CIE_MAT_06,Falha e Fratura,Falha e Fratura
subassunto,CIE_MAT_06_001,CIE_MAT_06_001,Fadiga,Fadiga
subassunto,CIE_MAT_06_002,CIE_MAT_06_002,Fluência,Fluência
subassunto,CIE_MAT_06_003,CIE_MAT_06_003,Fratura,Fratura
subassunto,CIE_MAT_06_004,CIE_MAT_06_004,Tenacidade à Fratura,Tenacidade à Fratura
assunto,CIE_MAT_10,CIE_MAT_07,Materiais Cerâmicos e Poliméricos,Materiais Cerâmicos e Poliméricos
subassunto,CIE_MAT_10_002,CIE_MAT_07_001,Estrutura e Propriedades dos Polímeros,Estrutura e Propriedades dos Polímeros
subassunto,CIE_MAT_10_005,CIE_MAT_07_002,"Materiais Cerâmicos, Refratários e Vidros","Materiais Cerâmicos, Refratários e Vidros"
subassunto,CIE_MAT_10_003,CIE_MAT_07_003,Termoplásticos e Termofixos,Termoplásticos e Termofixos
assunto,CIE_MAT_09,CIE_MAT_08,Materiais Metálicos e Ligas,Materiais Metálicos e Ligas
subassunto,CIE_MAT_09_001,CIE_MAT_08_001,Aços,Aços
subassunto,CIE_MAT_09_003,CIE_MAT_08_002,Ferros Fundidos,Ferros Fundidos
subassunto,CIE_MAT_09_004,CIE_MAT_08_003,Ligas de Alumínio,Ligas de Alumínio
subassunto,CIE_MAT_09_005,CIE_MAT_08_004,Ligas Não Ferrosas,Ligas Não Ferrosas
assunto,CIE_MAT_11,CIE_MAT_09,Mecanismos de Endurecimento,Mecanismos de Endurecimento
subassunto,CIE_MAT_11_001,CIE_MAT_09_001,Encruamento,Encruamento
subassunto,CIE_MAT_11_003,CIE_MAT_09_002,Refino de Grão,Refino de Grão
assunto,CIE_MAT_12,CIE_MAT_10,Propriedades Físicas,Propriedades Físicas
subassunto,CIE_MAT_12_001,CIE_MAT_10_001,Propriedades Elétricas,Propriedades Elétricas
subassunto,CIE_MAT_12_002,CIE_MAT_10_002,Propriedades Magnéticas,Propriedades Magnéticas
subassunto,CIE_MAT_12_003,CIE_MAT_10_003,Propriedades Térmicas,Propriedades Térmicas
assunto,CIE_MAT_13,CIE_MAT_11,Propriedades Mecânicas,Propriedades Mecânicas
subassunto,CIE_MAT_13_001,CIE_MAT_11_001,Ductilidade e Tenacidade,Ductilidade e Tenacidade
subassunto,CIE_MAT_13_002,CIE_MAT_11_002,Elasticidade,Elasticidade
subassunto,CIE_MAT_13_003,CIE_MAT_11_003,Plasticidade,Plasticidade
subassunto,CIE_MAT_13_004,CIE_MAT_11_004,Resistência e Dureza,Resistência e Dureza
assunto,CIE_MAT_14,CIE_MAT_12,Tratamentos Térmicos,Tratamentos Térmicos
subassunto,CIE_MAT_14_001,CIE_MAT_12_001,Recozimento e Normalização,Recozimento e Normalização
subassunto,CIE_MAT_14_002,CIE_MAT_12_002,Têmpera e Revenimento,Têmpera e Revenimento
subassunto,CIE_MAT_14_003,CIE_MAT_12_003,Transformações Martensíticas,Transformações Martensíticas
subassunto,CIE_MAT_14_004,CIE_MAT_12_004,Tratamentos Termoquímicos,Tratamentos Termoquímicos
assunto,DES_TEC_01,DES_TEC_01,CAD e Computação Gráfica,CAD e Computação Gráfica
subassunto,DES_TEC_01_001,DES_TEC_01_001,Camadas e Propriedades,Camadas e Propriedades
subassunto,DES_TEC_01_002,DES_TEC_01_002,Coordenadas em CAD,Coordenadas em CAD
subassunto,DES_TEC_01_003,DES_TEC_01_003,Desenho e Edição,Desenho e Edição
subassunto,DES_TEC_01_004,DES_TEC_01_004,Espaços de Trabalho e Layout,Espaços de Trabalho e Layout
subassunto,DES_TEC_01_005,DES_TEC_01_005,Fundamentos de CAD,Fundamentos de CAD
subassunto,DES_TEC_01_006,DES_TEC_01_006,Modelagem 2D e 3D,Modelagem 2D e 3D
subassunto,DES_TEC_01_007,DES_TEC_01_007,Plotagem e Impressão,Plotagem e Impressão
assunto,DES_TEC_04,DES_TEC_02,"Normas, Cotagem e Tolerâncias","Normas, Cotagem e Tolerâncias"
subassunto,DES_TEC_04_007,DES_TEC_02_001,Cotagem e Dimensionamento,Cotagem e Dimensionamento
subassunto,DES_TEC_04_008,DES_TEC_02_002,Escalas,Escalas
subassunto,DES_TEC_04_005,DES_TEC_02_003,Normas e Convenções de Desenho,Normas e Convenções de Desenho
subassunto,DES_TEC_04_006,DES_TEC_02_004,"Tolerâncias, Ajustes e Estado de Superfície","Tolerâncias, Ajustes e Estado de Superfície"
assunto,DES_TEC_06,DES_TEC_03,"Projeções, Vistas e Perspectivas","Projeções, Vistas e Perspectivas"
subassunto,DES_TEC_06_001,DES_TEC_03_001,Cortes e Seções,Cortes e Seções
subassunto,DES_TEC_06_002,DES_TEC_03_002,Geometria Descritiva,Geometria Descritiva
subassunto,DES_TEC_06_006,DES_TEC_03_003,Perspectivas,Perspectivas
subassunto,DES_TEC_06_003,DES_TEC_03_004,Sistemas de Projeção e Vistas,Sistemas de Projeção e Vistas
assunto,ENG_ECO_02,ENG_ECO_01,Análise de Investimentos,Análise de Investimentos
subassunto,ENG_ECO_02_001,ENG_ECO_01_001,Custo Anual Equivalente,Custo Anual Equivalente
subassunto,ENG_ECO_02_006,ENG_ECO_01_002,Depreciação,Depreciação
subassunto,ENG_ECO_02_002,ENG_ECO_01_003,Fluxos de Caixa,Fluxos de Caixa
subassunto,ENG_ECO_02_003,ENG_ECO_01_004,Payback,Payback
subassunto,ENG_ECO_02_004,ENG_ECO_01_005,Taxa Interna de Retorno,Taxa Interna de Retorno
subassunto,ENG_ECO_02_005,ENG_ECO_01_006,Valor Presente Líquido,Valor Presente Líquido
assunto,ENG_ECO_01,ENG_ECO_02,Matemática Financeira,Matemática Financeira
subassunto,ENG_ECO_01_001,ENG_ECO_02_001,Descontos,Descontos
subassunto,ENG_ECO_01_002,ENG_ECO_02_002,Equivalência de Capitais,Equivalência de Capitais
subassunto,ENG_ECO_01_003,ENG_ECO_02_003,Juros Compostos,Juros Compostos
subassunto,ENG_ECO_01_004,ENG_ECO_02_004,Juros Simples,Juros Simples
subassunto,ENG_ECO_01_005,ENG_ECO_02_005,Séries Uniformes de Pagamentos,Séries Uniformes de Pagamentos
subassunto,ENG_ECO_01_006,ENG_ECO_02_006,Sistemas de Amortização,Sistemas de Amortização
subassunto,ENG_ECO_01_007,ENG_ECO_02_007,Taxas de Juros,Taxas de Juros
assunto,FIS_GER_01,FIS_GER_01,Eletrodinâmica,Eletrodinâmica
subassunto,FIS_GER_01_001,FIS_GER_01_001,Associação de Resistores,Associação de Resistores
subassunto,FIS_GER_01_002,FIS_GER_01_002,Circuitos de Corrente Contínua,Circuitos de Corrente Contínua
subassunto,FIS_GER_01_003,FIS_GER_01_003,"Corrente, Resistência e Lei de Ohm","Corrente, Resistência e Lei de Ohm"
subassunto,FIS_GER_01_005,FIS_GER_01_004,Potência e Energia Elétrica,Potência e Energia Elétrica
assunto,FIS_GER_02,FIS_GER_02,Eletrostática,Eletrostática
subassunto,FIS_GER_02_001,FIS_GER_02_001,Campo Elétrico,Campo Elétrico
subassunto,FIS_GER_02_002,FIS_GER_02_002,Capacitância e Capacitores,Capacitância e Capacitores
subassunto,FIS_GER_02_003,FIS_GER_02_003,Carga Elétrica e Lei de Coulomb,Carga Elétrica e Lei de Coulomb
subassunto,FIS_GER_02_005,FIS_GER_02_004,Potencial Elétrico,Potencial Elétrico
assunto,FIS_GER_03,FIS_GER_03,Física Moderna,Física Moderna
subassunto,FIS_GER_03_001,FIS_GER_03_001,Estrutura Atômica e Física Nuclear,Estrutura Atômica e Física Nuclear
assunto,FIS_GER_04,FIS_GER_04,Magnetismo e Indução Eletromagnética,Magnetismo e Indução Eletromagnética
subassunto,FIS_GER_04_001,FIS_GER_04_001,Campo Magnético,Campo Magnético
subassunto,FIS_GER_04_002,FIS_GER_04_002,Força Magnética,Força Magnética
subassunto,FIS_GER_04_003,FIS_GER_04_003,Indução Eletromagnética e Lei de Faraday-Lenz,Indução Eletromagnética e Lei de Faraday-Lenz
assunto,FIS_GER_05,FIS_GER_05,"Ondas, Acústica e Óptica","Ondas, Acústica e Óptica"
subassunto,FIS_GER_05_001,FIS_GER_05_001,Acústica,Acústica
subassunto,FIS_GER_05_002,FIS_GER_05_002,Fenômenos Ondulatórios,Fenômenos Ondulatórios
subassunto,FIS_GER_05_003,FIS_GER_05_003,Ondas Mecânicas,Ondas Mecânicas
subassunto,FIS_GER_05_004,FIS_GER_05_004,Óptica Geométrica,Óptica Geométrica
assunto,MAT_BAS_01,MAT_BAS_01,Álgebra Elementar,Álgebra Elementar
subassunto,MAT_BAS_01_001,MAT_BAS_01_001,Equações do 1º Grau,Equações do 1º Grau
subassunto,MAT_BAS_01_002,MAT_BAS_01_002,Equações do 2º Grau,Equações do 2º Grau
subassunto,MAT_BAS_01_004,MAT_BAS_01_003,Inequações,Inequações
subassunto,MAT_BAS_01_005,MAT_BAS_01_004,Sistemas de Equações do 1º Grau,Sistemas de Equações do 1º Grau
assunto,MAT_BAS_02,MAT_BAS_02,Análise Combinatória,Análise Combinatória
subassunto,MAT_BAS_02_001,MAT_BAS_02_001,Arranjos,Arranjos
subassunto,MAT_BAS_02_002,MAT_BAS_02_002,Combinações,Combinações
subassunto,MAT_BAS_02_005,MAT_BAS_02_003,Permutações,Permutações
subassunto,MAT_BAS_02_007,MAT_BAS_02_004,Princípio Fundamental da Contagem,Princípio Fundamental da Contagem
assunto,MAT_BAS_03,MAT_BAS_03,Aritmética e Proporcionalidade,Aritmética e Proporcionalidade
subassunto,MAT_BAS_03_002,MAT_BAS_03_001,Divisão Proporcional,Divisão Proporcional
subassunto,MAT_BAS_03_003,MAT_BAS_03_002,Divisibilidade,Divisibilidade
subassunto,MAT_BAS_03_004,MAT_BAS_03_003,Frações,Frações
subassunto,MAT_BAS_03_005,MAT_BAS_03_004,MDC e MMC,MDC e MMC
subassunto,MAT_BAS_03_007,MAT_BAS_03_005,Operações Fundamentais,Operações Fundamentais
subassunto,MAT_BAS_03_008,MAT_BAS_03_006,Porcentagem,Porcentagem
subassunto,MAT_BAS_03_009,MAT_BAS_03_007,Potenciação e Radiciação,Potenciação e Radiciação
subassunto,MAT_BAS_03_010,MAT_BAS_03_008,Razões e Proporções,Razões e Proporções
subassunto,MAT_BAS_03_011,MAT_BAS_03_009,Regra de Três,Regra de Três
subassunto,MAT_BAS_03_012,MAT_BAS_03_010,Unidades e Conversões,Unidades e Conversões
assunto,MAT_BAS_04,MAT_BAS_04,Funções,Funções
subassunto,MAT_BAS_04_001,MAT_BAS_04_001,Função Afim,Função Afim
subassunto,MAT_BAS_04_003,MAT_BAS_04_002,Função Exponencial,Função Exponencial
subassunto,MAT_BAS_04_004,MAT_BAS_04_003,Função Logarítmica,Função Logarítmica
subassunto,MAT_BAS_04_005,MAT_BAS_04_004,Função Quadrática,Função Quadrática
subassunto,MAT_BAS_04_006,MAT_BAS_04_005,Propriedades e Operações com Funções,Propriedades e Operações com Funções
assunto,MAT_BAS_11,MAT_BAS_05,Geometria Analítica,Geometria Analítica
subassunto,MAT_BAS_11_002,MAT_BAS_05_001,Cônicas e Circunferência,Cônicas e Circunferência
subassunto,MAT_BAS_11_001,MAT_BAS_05_002,Retas no Plano,Retas no Plano
subassunto,MAT_BAS_11_003,MAT_BAS_05_003,Sistemas de Coordenadas e Geometria Espacial,Sistemas de Coordenadas e Geometria Espacial
subassunto,MAT_BAS_11_004,MAT_BAS_05_004,Vetores e Operações Vetoriais,Vetores e Operações Vetoriais
assunto,MAT_BAS_05,MAT_BAS_06,Geometria Espacial,Geometria Espacial
subassunto,MAT_BAS_05_001,MAT_BAS_06_001,Áreas e Volumes,Áreas e Volumes
subassunto,MAT_BAS_05_002,MAT_BAS_06_002,Cilindros,Cilindros
subassunto,MAT_BAS_05_003,MAT_BAS_06_003,Cones,Cones
subassunto,MAT_BAS_05_004,MAT_BAS_06_004,Esferas,Esferas
subassunto,MAT_BAS_05_007,MAT_BAS_06_005,"Prismas, Pirâmides e Poliedros","Prismas, Pirâmides e Poliedros"
subassunto,MAT_BAS_05_008,MAT_BAS_06_006,Troncos,Troncos
assunto,MAT_BAS_06,MAT_BAS_07,Geometria Plana,Geometria Plana
subassunto,MAT_BAS_06_002,MAT_BAS_07_001,Áreas e Perímetros,Áreas e Perímetros
subassunto,MAT_BAS_06_003,MAT_BAS_07_002,Circunferência e Círculo,Circunferência e Círculo
subassunto,MAT_BAS_06_005,MAT_BAS_07_003,Semelhança e Teorema de Tales,Semelhança e Teorema de Tales
subassunto,MAT_BAS_06_006,MAT_BAS_07_004,Teorema de Pitágoras,Teorema de Pitágoras
assunto,MAT_BAS_08,MAT_BAS_08,Sequências e Progressões,Sequências e Progressões
subassunto,MAT_BAS_08_001,MAT_BAS_08_001,Progressão Aritmética,Progressão Aritmética
subassunto,MAT_BAS_08_002,MAT_BAS_08_002,Progressão Geométrica,Progressão Geométrica
subassunto,MAT_BAS_08_003,MAT_BAS_08_003,Sequências Recorrentes,Sequências Recorrentes
assunto,MAT_BAS_09,MAT_BAS_09,Teoria dos Conjuntos,Teoria dos Conjuntos
subassunto,MAT_BAS_09_002,MAT_BAS_09_001,Diagramas de Venn,Diagramas de Venn
subassunto,MAT_BAS_09_003,MAT_BAS_09_002,Operações com Conjuntos,Operações com Conjuntos
subassunto,MAT_BAS_09_004,MAT_BAS_09_003,Relações de Pertinência e Inclusão,Relações de Pertinência e Inclusão
assunto,MAT_BAS_10,MAT_BAS_10,Trigonometria,Trigonometria
subassunto,MAT_BAS_10_001,MAT_BAS_10_001,Equações Trigonométricas,Equações Trigonométricas
subassunto,MAT_BAS_10_002,MAT_BAS_10_002,Funções Trigonométricas,Funções Trigonométricas
subassunto,MAT_BAS_10_003,MAT_BAS_10_003,Identidades Trigonométricas,Identidades Trigonométricas
subassunto,MAT_BAS_10_004,MAT_BAS_10_004,Leis dos Senos e Cossenos,Leis dos Senos e Cossenos
subassunto,MAT_BAS_10_006,MAT_BAS_10_005,Trigonometria em Triângulos,Trigonometria em Triângulos
assunto,MEC_FLU_01,MEC_FLU_01,Análise Dimensional e Semelhança,Análise Dimensional e Semelhança
subassunto,MEC_FLU_01_001,MEC_FLU_01_001,Homogeneidade Dimensional,Homogeneidade Dimensional
subassunto,MEC_FLU_01_002,MEC_FLU_01_002,Números Adimensionais,Números Adimensionais
subassunto,MEC_FLU_01_003,MEC_FLU_01_003,Teorema de Buckingham Pi,Teorema de Buckingham Pi
subassunto,MEC_FLU_01_004,MEC_FLU_01_004,Teoria de Modelos e Semelhança,Teoria de Modelos e Semelhança
assunto,MEC_FLU_02,MEC_FLU_02,Cinemática dos Fluidos,Cinemática dos Fluidos
subassunto,MEC_FLU_02_002,MEC_FLU_02_001,Campo de Velocidade,Campo de Velocidade
subassunto,MEC_FLU_02_004,MEC_FLU_02_002,Vazão e Velocidade Média,Vazão e Velocidade Média
assunto,MEC_FLU_03,MEC_FLU_03,Dinâmica dos Fluidos,Dinâmica dos Fluidos
subassunto,MEC_FLU_03_002,MEC_FLU_03_001,Conservação da Massa e Equação da Continuidade,Conservação da Massa e Equação da Continuidade
subassunto,MEC_FLU_03_003,MEC_FLU_03_002,Equação de Bernoulli,Equação de Bernoulli
subassunto,MEC_FLU_03_004,MEC_FLU_03_003,Quantidade de Movimento,Quantidade de Movimento
subassunto,MEC_FLU_03_005,MEC_FLU_03_004,Volume de Controle,Volume de Controle
assunto,MEC_FLU_04,MEC_FLU_04,Escoamento Externo,Escoamento Externo
subassunto,MEC_FLU_04_001,MEC_FLU_04_001,Arrasto,Arrasto
subassunto,MEC_FLU_04_002,MEC_FLU_04_002,Camada Limite,Camada Limite
assunto,MEC_FLU_05,MEC_FLU_05,Escoamento Interno em Condutos,Escoamento Interno em Condutos
subassunto,MEC_FLU_05_001,MEC_FLU_05_001,Cavitação,Cavitação
subassunto,MEC_FLU_05_003,MEC_FLU_05_002,Equação de Hagen-Poiseuille,Equação de Hagen-Poiseuille
subassunto,MEC_FLU_05_004,MEC_FLU_05_003,Fator de Atrito,Fator de Atrito
subassunto,MEC_FLU_05_005,MEC_FLU_05_004,Número de Reynolds,Número de Reynolds
subassunto,MEC_FLU_05_006,MEC_FLU_05_005,Perdas de Carga e Equação de Darcy-Weisbach,Perdas de Carga e Equação de Darcy-Weisbach
subassunto,MEC_FLU_05_007,MEC_FLU_05_006,Regimes Laminar e Turbulento,Regimes Laminar e Turbulento
subassunto,MEC_FLU_05_008,MEC_FLU_05_007,Sistemas de Tubulações,Sistemas de Tubulações
assunto,MEC_FLU_06,MEC_FLU_06,Estática dos Fluidos,Estática dos Fluidos
subassunto,MEC_FLU_06_001,MEC_FLU_06_001,Empuxo e Princípio de Arquimedes,Empuxo e Princípio de Arquimedes
subassunto,MEC_FLU_06_002,MEC_FLU_06_002,Forças Hidrostáticas,Forças Hidrostáticas
subassunto,MEC_FLU_06_003,MEC_FLU_06_003,Manometria,Manometria
subassunto,MEC_FLU_06_004,MEC_FLU_06_004,Pressão Hidrostática e Teorema de Stevin,Pressão Hidrostática e Teorema de Stevin
subassunto,MEC_FLU_06_006,MEC_FLU_06_005,Princípio de Pascal,Princípio de Pascal
assunto,MEC_FLU_07,MEC_FLU_07,Medição de Escoamentos,Medição de Escoamentos
subassunto,MEC_FLU_07_001,MEC_FLU_07_001,Outros Medidores de Vazão,Outros Medidores de Vazão
subassunto,MEC_FLU_07_002,MEC_FLU_07_002,Placa de Orifício,Placa de Orifício
subassunto,MEC_FLU_07_003,MEC_FLU_07_003,Tubo de Pitot,Tubo de Pitot
subassunto,MEC_FLU_07_004,MEC_FLU_07_004,Tubo de Venturi,Tubo de Venturi
assunto,MEC_FLU_08,MEC_FLU_08,Propriedades dos Fluidos,Propriedades dos Fluidos
subassunto,MEC_FLU_08_001,MEC_FLU_08_001,Compressibilidade,Compressibilidade
subassunto,MEC_FLU_08_002,MEC_FLU_08_002,Fluidos Newtonianos e Não Newtonianos,Fluidos Newtonianos e Não Newtonianos
subassunto,MEC_FLU_08_003,MEC_FLU_08_003,"Massa Específica, Peso Específico e Densidade","Massa Específica, Peso Específico e Densidade"
subassunto,MEC_FLU_08_004,MEC_FLU_08_004,Tensão Superficial e Capilaridade,Tensão Superficial e Capilaridade
subassunto,MEC_FLU_08_005,MEC_FLU_08_005,Viscosidade,Viscosidade
assunto,MEC_GER_01,MEC_GER_01,Cinemática da Partícula,Cinemática da Partícula
subassunto,MEC_GER_01_001,MEC_GER_01_001,Movimento Circular,Movimento Circular
subassunto,MEC_GER_01_002,MEC_GER_01_002,Movimento Curvilíneo,Movimento Curvilíneo
subassunto,MEC_GER_01_003,MEC_GER_01_003,Movimento Retilíneo,Movimento Retilíneo
assunto,MEC_GER_02,MEC_GER_02,Cinemática do Corpo Rígido,Cinemática do Corpo Rígido
subassunto,MEC_GER_02_001,MEC_GER_02_001,Movimento Plano,Movimento Plano
subassunto,MEC_GER_02_002,MEC_GER_02_002,Rotação em Eixo Fixo,Rotação em Eixo Fixo
assunto,MEC_GER_03,MEC_GER_03,Dinâmica da Partícula,Dinâmica da Partícula
subassunto,MEC_GER_03_001,MEC_GER_03_001,Impulso e Quantidade de Movimento,Impulso e Quantidade de Movimento
subassunto,MEC_GER_03_002,MEC_GER_03_002,Leis de Newton,Leis de Newton
subassunto,MEC_GER_03_003,MEC_GER_03_003,Trabalho e Energia,Trabalho e Energia
assunto,MEC_GER_04,MEC_GER_04,Dinâmica do Corpo Rígido,Dinâmica do Corpo Rígido
subassunto,MEC_GER_04_001,MEC_GER_04_001,Equações do Movimento,Equações do Movimento
subassunto,MEC_GER_04_003,MEC_GER_04_002,Momento de Inércia de Massa,Momento de Inércia de Massa
assunto,MEC_GER_05,MEC_GER_05,Estática,Estática
subassunto,MEC_GER_05_001,MEC_GER_05_001,Atrito,Atrito
subassunto,MEC_GER_05_002,MEC_GER_05_002,Centroides e Centros de Massa,Centroides e Centros de Massa
subassunto,MEC_GER_05_003,MEC_GER_05_003,Equilíbrio de Corpos Rígidos,Equilíbrio de Corpos Rígidos
subassunto,MEC_GER_05_004,MEC_GER_05_004,Momentos e Binários,Momentos e Binários
subassunto,MEC_GER_05_005,MEC_GER_05_005,Reações de Apoio,Reações de Apoio
assunto,METROL_01,METROL_01,Calibração e Rastreabilidade,Calibração e Rastreabilidade
subassunto,METROL_01_001,METROL_01_001,Calibração,Calibração
subassunto,METROL_01_003,METROL_01_002,Rastreabilidade,Rastreabilidade
assunto,METROL_02,METROL_02,Erros e Incertezas de Medição,Erros e Incertezas de Medição
subassunto,METROL_02_001,METROL_02_001,Erros Aleatórios e Sistemáticos,Erros Aleatórios e Sistemáticos
subassunto,METROL_02_002,METROL_02_002,Incerteza de Medição,Incerteza de Medição
assunto,METROL_03,METROL_03,Fundamentos de Metrologia,Fundamentos de Metrologia
subassunto,METROL_03_002,METROL_03_001,Conceitos Fundamentais,Conceitos Fundamentais
subassunto,METROL_03_003,METROL_03_002,"Exatidão, Precisão, Repetibilidade e Reprodutibilidade","Exatidão, Precisão, Repetibilidade e Reprodutibilidade"
